Kode,Industri,Market Cap
GMFI,Infrastructures,8863303598080.0
PPRE,Infrastructures,2124404621312.0
WEGE,Infrastructures,622179975168.0
MORA,Infrastructures,162570853941248.0
IPCM,Infrastructures,1772995215360.0
LCKM,Infrastructures,236000002048.0
GHON,Infrastructures,989999988736.0
IPCC,Infrastructures,2391175856128.0
MTPS,Infrastructures,168872919040.0
JAST,Infrastructures,114753028096.0
KEEN,Infrastructures,3904622821376.0
PTPW,Infrastructures,856232820736.0
TAMA,Infrastructures,66000035840.0
RONY,Infrastructures,4074999906304.0
PTDU,Infrastructures,103499997184.0
KETR,Infrastructures,1946265059328.0
FIMP,Infrastructures,27600066560.0
MTEL,Infrastructures,45540024778752.0
SMKM,Infrastructures,170407985152.0
ARKO,Infrastructures,21890500395008.0
KRYA,Infrastructures,151418847232.0
PGEO,Infrastructures,50387998474240.0
BDKR,Infrastructures,812717441024.0
INET,Infrastructures,8383052644352.0
BREN,Infrastructures,1097047054745600.0
KOKA,Infrastructures,715333238784.0
ASLI,Infrastructures,2612499841024.0
DATA,Infrastructures,5238750183424.0
HGII,Infrastructures,994499952640.0
CDIA,Infrastructures,146050362900480.0
MANG,Infrastructures,224941604864.0
ABBA,Consumer Cyclicals,196794630144.0
ACES,Consumer Cyclicals,6894300168192.0
AKKU,Consumer Cyclicals,245079621632.0
ARGO,Consumer Cyclicals,3745720041472.0
ARTA,Consumer Cyclicals,1170286313472.0
AUTO,Consumer Cyclicals,12772292165632.0
BATA,Consumer Cyclicals,83200000000.0
BAYU,Consumer Cyclicals,476848029696.0
BIMA,Consumer Cyclicals,49870409728.0
BLTZ,Consumer Cyclicals,2359630233600.0
BMTR,Consumer Cyclicals,2338409152512.0
BOLT,Consumer Cyclicals,2554687389696.0
BRAM,Consumer Cyclicals,2110767235072.0
BUVA,Consumer Cyclicals,31756000428032.0
CINT,Consumer Cyclicals,211999997952.0
CNTX,Consumer Cyclicals,28400001024.0
CSAP,Consumer Cyclicals,1829982306304.0
ECII,Consumer Cyclicals,294001377280.0
ERAA,Consumer Cyclicals,6723764486144.0
ERTX,Consumer Cyclicals,326781108224.0
ESTI,Consumer Cyclicals,439315496960.0
FAST,Consumer Cyclicals,2133629992960.0
FORU,Consumer Cyclicals,795533049856.0
GDYR,Consumer Cyclicals,451000008704.0
GEMA,Consumer Cyclicals,147200000000.0
GJTL,Consumer Cyclicals,3745739177984.0
GLOB,Consumer Cyclicals,172222349312.0
GWSA,Consumer Cyclicals,1396335968256.0
HOME,Consumer Cyclicals,1110610018304.0
HOTL,Consumer Cyclicals,177500012544.0
IIKP,Consumer Cyclicals,1680000024576.0
IMAS,Consumer Cyclicals,4393720086528.0
INDR,Consumer Cyclicals,2074294878208.0
INDS,Consumer Cyclicals,11648432603136.0
JIHD,Consumer Cyclicals,1572102209536.0
JSPT,Consumer Cyclicals,5611340693504.0
KICI,Consumer Cyclicals,61824000000.0
KPIG,Consumer Cyclicals,16176924065792.0
LMPI,Consumer Cyclicals,188592816128.0
LPIN,Consumer Cyclicals,188700000256.0
LPPF,Consumer Cyclicals,2205867573248.0
MAPI,Consumer Cyclicals,21497001279488.0
MASA,Consumer Cyclicals,
MDIA,Consumer Cyclicals,2039207952384.0
