Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
ACES,Consumer Cyclicals,9.139923,6.1966925,,0.9557329,0.12577,0.08118,0.09195,0.12093,15.696,9.36,3.129,916949303296,1316571447296,-0.014,-0.1,46874328,38940400,6094859010048,356.0,16687260768.0,537.1190431892036
AUTO,Consumer Cyclicals,5.73392,6.328961,,0.8049306,0.14425,0.03467,0.110769995,0.06362,3.522,2.205,1.567,791942004736,1944257953792,0.039,0.26,3687026,2205100,12627700875264,2620.0,9660008120.0,523.1105804512598
BMTR,Consumer Cyclicals,3.1429179,1.997301,,0.15236871,0.03903,0.029040001,0.08036,0.23115999,20.557,3.743,2.243,227676127232,1467974025216,-0.088,1.697,49665523,79006100,2420171866112,148.0,7350497404.0,770.2858820522141
BUVA,Consumer Cyclicals,227.18446,,,14.046124,0.058579996,0.01714,0.2641,0.05084,23.024,2.968,2.876,41353089024,53623033856,0.046,,316142817,313077600,28801954217984,1170.0,369887095890.0,293.32895929342374
ERAA,Consumer Cyclicals,5.1254954,6.300747,,0.6699022,0.1365,0.05515,0.01561,0.03205,92.36,1.16,0.337,-1666379939840,225153236992,0.454,0.692,61502653,38055100,6123992121344,388.0,23863029364.0,398.99135731944733
GJTL,Consumer Cyclicals,3.165532,4.934498,,0.37649962,0.12486,0.05307,0.07038,0.13311,49.801,1.655,1.146,-232093499392,2018034057216,-0.01,1.286,5772421,4786300,3937438007296,1130.0,6522835730.0,537.0268771706775
INDS,Consumer Cyclicals,32.088287,,,0.73171014,0.02807,0.02326,0.02338,0.05352,7.587,2.891,1.065,-79284043776,99627802624,0.113,0.504,38044762,14378500,2480623845376,378.0,14380920036.0,322.93948793099867
LPPF,Consumer Cyclicals,5.8342333,5.565535,,15.425046,2.4232202,0.13774,0.1254,0.17863001,941.698,0.651,0.197,1135533752320,1667526033408,-0.083,-0.386,3584932,3270300,2211718889472,1890.0,6775521480.0,323.7073025189827
MAPI,Consumer Cyclicals,9.363575,9.096839,,1.4848311,0.17176001,0.07816,0.05179,0.108389996,44.989,1.609,0.628,2825390915584,5817328205824,0.277,0.825,27697041,26787500,20833001013248,1255.0,34759786455.0,601.4273594944873
MNCN,Consumer Cyclicals,2.5025024,2.3818598,,0.1484714,0.06316,0.03595,0.17267999,0.17446,6.237,8.413,4.511,-580203642880,926738022400,-0.122,2.655,29037003,56996900,3306790322176,250.0,7259250750.0,640.571138739242
